82C2 00 00 00 24 FD   0
82DD 00 00 00 26 00 307
82DA 00 00 00 26 00 316
82DD 00 00 00 26 00 328
82DA 00 00 00 26 00 337
82DD 00 00 00 26 00   8
82DA 00 00 00 26 00  17
82DD 00 00 00 26 00  29
82DA 00 00 00 26 00  38
82DD 00 00 00 26 00  50
82DA 00 00 00 26 00  59
82DD 00 00 00 26 00  71
82DA 00 00 00 26 00  80
82DD 00 00 00 26 00  92
82DA 00 00 00 26 00 101
82DD 00 00 00 26 00 113
82DA 00 00 00 26 00 122
82DD 00 00 00 26 00 134
82DA 00 00 00 26 00 143
82DD 00 00 00 26 00 155
82DA 00 00 00 26 00 164
82DD 00 00 00 26 00 176
82DA 00 00 00 26 00 185
82DD 00 00 00 26 00 197
82DA 00 00 00 26 00 206
82DD 00 00 00 26 00 218
82DA 00 00 00 26 00 227
82DD 00 00 00 26 00 239
82DA 00 00 00 26 00 248
82DD 00 00 00 26 00 260
82DA 00 00 00 26 00 269
82DD 00 00 00 26 00 281
82DA 00 00 00 26 00 290
82DD 00 00 00 26 00 302
82DA 00 00 00 26 00 311
82DD 00 00 00 26 00 323
82DA 00 00 00 26 00 332
82DD 00 00 00 26 00   3
82DA 00 00 00 26 00  12
82DD 00 00 00 26 00  24
82DA 00 00 00 26 00  33
82DD 00 00 00 26 00  45
82DA 00 00 00 26 00  54
82DD 00 00 00 26 00  66
82DA 00 00 00 26 00  75
82DD 00 00 00 26 00  87
82DA 00 00 00 26 00  96
82DD 00 00 00 26 00 108
82DA 00 00 00 26 00 117
82DD 00 00 00 26 00 129
82DA 00 00 00 26 00 138
82DD 00 00 00 26 00 150
82DA 00 00 00 26 00 159
82DD 00 00 00 26 00 171
82DA 00 00 00 26 00 180
82DD 00 00 00 26 00 192
82DA 00 00 00 26 00 201
82DD 00 00 00 26 00 213
82DA 00 00 00 26 00 222
82DD 00 00 00 26 00 234
82DA 00 00 00 26 00 243
82DD 00 00 00 26 00 255
82DA 00 00 00 26 00 264
82DD 00 00 00 26 00 276
82DA 00 00 00 26 00 285
82DD 00 00 00 26 00 297
82DA 00 00 00 26 00 306
82DD 00 00 00 26 00 318
82DA 00 00 00 26 00 327
82DD 00 00 00 26 00 339
82DA 00 00 00 26 00   7
82DD 00 00 00 26 00  19
82DA 00 00 00 26 00  28
82DD 00 00 00 26 00  40
82DA 00 00 00 26 00  49
82DD 00 00 00 26 00  61
82DA 00 00 00 26 00  70
82DD 00 00 00 26 00  82
82DA 00 00 00 26 00  91
82DD 00 00 00 26 00 103
82DA 00 00 00 26 00 112
82DD 00 00 00 26 00 124
82DA 00 00 00 26 00 133
82DD 00 00 00 26 00 145
82DA 00 00 00 26 00 154
82DD 00 00 00 26 00 166
82DA 00 00 00 26 00 175
82DD 00 00 00 26 00 187
82DA 00 00 00 26 00 196
82DD 00 00 00 26 00 208
82DA 00 00 00 26 00 217
82DD 00 00 00 26 00 229
82DA 00 00 00 26 00 238
82DD 00 00 00 26 00 250
82DA 00 00 00 26 00 259
82DD 00 00 00 26 00 271
82DA 00 00 00 26 00 280
82DD 00 00 00 26 00 292
82DA 00 00 00 26 00 301
82DD 00 00 00 26 00 313
82DA 00 00 00 26 00 322
82DD 00 00 00 26 00 334
82DA 00 00 00 26 00   2
82DD 00 00 00 26 00  14
82DA 00 00 00 26 00  23
82DD 00 00 00 26 00  35
82DA 00 00 00 26 00  44
82DD 00 00 00 26 00  56
82DA 00 00 00 26 00  65
82DD 00 00 00 26 00  77
82DA 00 00 00 26 00  86
82DD 00 00 00 26 00  98
82DA 00 00 00 26 00 107
82DD 00 00 00 26 00 119
82DA 00 00 00 26 00 128
82DD 00 00 00 26 00 140
82DA 00 00 00 26 00 149
82DD 00 00 00 26 00 161
82DA 00 00 00 26 00 170
82DD 00 00 00 26 00 182
82DA 00 00 00 26 00 191
82DD 00 00 00 26 00 203
82DA 00 00 00 26 00 212
82DD 00 00 00 26 00 224
82DA 00 00 00 26 00 233
82DD 00 00 00 26 00 245
82DA 00 00 00 26 00 254
82DD 00 00 00 26 00 266
82DA 00 00 00 26 00 275
82DD 00 00 00 26 00 287
82DA 00 00 00 26 00 296
82DD 00 00 00 26 00 308
82DA 00 00 00 26 00 317
82DD 00 00 00 26 00 329
82DA 00 00 00 26 00 338
82DD 00 00 00 26 00   9
82DA 00 00 00 26 00  18
82DD 00 00 00 26 00  30
82DA 00 00 00 26 00  39
82DD 00 00 00 26 00  51
82DA 00 00 00 26 00  60
82DD 00 00 00 26 00  72
82DA 00 00 00 26 00  81
82DD 00 00 00 26 00  93
82DA 00 00 00 26 00 102
82DD 00 00 00 26 00 114
82DA 00 00 00 26 00 123
82DD 00 00 00 26 00 135
82DA 00 00 00 26 00 144
82DD 00 00 00 26 00 156
82DA 00 00 00 26 00 165
82DD 00 00 00 26 00 177
82DA 00 00 00 26 00 186
82DD 00 00 00 26 00 198
82DA 00 00 00 26 00 207
82DD 00 00 00 26 00 219
82DA 00 00 00 26 00 228
82DD 00 00 00 26 00 240
82DA 00 00 00 26 00 249
82DD 00 00 00 26 00 261
82DA 00 00 00 26 00 270
82DD 00 00 00 26 00 282
82DA 00 00 00 26 00 291
82DD 00 00 00 26 00 303
82DA 00 00 00 26 00 312
82DD 00 00 00 26 00 324
82DA 00 00 00 26 00 333
82DD 00 00 00 26 00   4
82DA 00 00 00 26 00  13
82DD 00 00 00 26 00  25
82DA 00 00 00 26 00  34
82DD 00 00 00 26 00  46
82DA 00 00 00 26 00  55
82DD 00 00 00 26 00  67
82DA 00 00 00 26 00  76
82DD 00 00 00 26 00  88
82DA 00 00 00 26 00  97
82DD 00 00 00 26 00 109
82DA 00 00 00 26 00 118
82DD 00 00 00 26 00 130
82DA 00 00 00 26 00 139
82DD 00 00 00 26 00 151
82DA 00 00 00 26 00 160
82DD 00 00 00 26 00 172
82DA 00 00 00 26 00 181
82DD 00 00 00 26 00 193
82DA 00 00 00 26 00 202
82DD 00 00 00 26 00 214
82DA 00 00 00 26 00 223
82DD 00 00 00 26 00 235
82DA 00 00 00 26 00 244
82DD 00 00 00 26 00 256
82DA 00 00 00 26 00 265
82DD 00 00 00 26 00 277
82DA 00 00 00 26 00 286
82DD 00 00 00 26 00 298
82DA 00 00 00 26 00 307
82DD 00 00 00 26 00 319
82DA 00 00 00 26 00 328
82DD 00 00 00 26 00 340
82DA 00 00 00 26 00   8
82DD 00 00 00 26 00  20
82DA 00 00 00 26 00  29
82DD 00 00 00 26 00  41
82DA 00 00 00 26 00  50
82DD 00 00 00 26 00  62
82DA 00 00 00 26 00  71
82DD 00 00 00 26 00  83
82DA 00 00 00 26 00  92
82DD 00 00 00 26 00 104
82DA 00 00 00 26 00 113
82DD 00 00 00 26 00 125
82DA 00 00 00 26 00 134
82DD 00 00 00 26 00 146
82DA 00 00 00 26 00 155
82DD 00 00 00 26 00 167
82DA 00 00 00 26 00 176
82DD 00 00 00 26 00 188
82DA 00 00 00 26 00 197
82DD 00 00 00 26 00 209
82DA 00 00 00 26 00 218
82DD 00 00 00 26 00 230
82DA 00 00 00 26 00 239
82DD 00 00 00 26 00 251
82DA 00 00 00 26 00 260
82DD 00 00 00 26 00 272
82DA 00 00 00 26 00 281
82DD 00 00 00 26 00 293
82DA 00 00 00 26 00 302
82DD 00 00 00 26 00 314
82DA 00 00 00 26 00 323
82DD 00 00 00 26 00 335
82DA 00 00 00 26 00   3
82DD 00 00 00 26 00  15
82DA 00 00 00 26 00  24
82DD 00 00 00 26 00  36
82DA 00 00 00 26 00  45
82DD 00 00 00 26 00  57
82DA 00 00 00 26 00  66
82DD 00 00 00 26 00  78
82DA 00 00 00 26 00  87
82DD 00 00 00 26 00  99
82DA 00 00 00 26 00 108
82DD 00 00 00 26 00 120
82DA 00 00 00 26 00 129
82DD 00 00 00 26 00 141
82DA 00 00 00 26 00 150
82DD 00 00 00 26 00 162
82DA 00 00 00 26 00 171
82DD 00 00 00 26 00 183
82DA 00 00 00 26 00 192
82DD 00 00 00 26 00 204
82DA 00 00 00 26 00 213
82DD 00 00 00 26 00 225
82DA 00 00 00 26 00 234
82DD 00 00 00 26 00 246
82DA 00 00 00 26 00 255
82DD 00 00 00 26 00 267
82DA 00 00 00 26 00 276
82DD 00 00 00 26 00 288
82DA 00 00 00 26 00 297
82DD 00 00 00 26 00 309
82DA 00 00 00 26 00 318
82DD 00 00 00 26 00 330
82DA 00 00 00 26 00 339
82DD 00 00 00 26 00  10
82DA 00 00 00 26 00  19
82DD 00 00 00 26 00  31
82DA 00 00 00 26 00  40
82DD 00 00 00 26 00  52
82DA 00 00 00 26 00  61
82DD 00 00 00 26 00  73
82DA 00 00 00 26 00  82
82DD 00 00 00 26 00  94
82DA 00 00 00 26 00 103
82DD 00 00 00 26 00 115
82DA 00 00 00 26 00 124
82DD 00 00 00 26 00 136
82DA 00 00 00 26 00 145
82DD 00 00 00 26 00 157
82DA 00 00 00 26 00 166
82DD 00 00 00 26 00 178
82DA 00 00 00 26 00 187
82DD 00 00 00 26 00 199
82DA 00 00 00 26 00 208
82DD 00 00 00 26 00 220
82DA 00 00 00 26 00 229
82DD 00 00 00 26 00 241
82DA 00 00 00 26 00 250
82DD 00 00 00 26 00 262
82DA 00 00 00 26 00 271
82DD 00 00 00 26 00 283
82DA 00 00 00 26 00 292
82DD 00 00 00 26 00 304
82DA 00 00 00 26 00 313
82DD 00 00 00 26 00 325
82DA 00 00 00 26 00 334
82DD 00 00 00 26 00   5
82DA 00 00 00 26 00  14
82DD 00 00 00 26 00  26
82DA 00 00 00 26 00  35
82DD 00 00 00 26 00  47
82DA 00 00 00 26 00  56
82DD 00 00 00 26 00  68
82DA 00 00 00 26 00  77
82DD 00 00 00 26 00  89
82DA 00 00 00 26 00  98
82DD 00 00 00 26 00 110
82DA 00 00 00 26 00 119
82DD 00 00 00 26 00 131
82DA 00 00 00 26 00 140
82DD 00 00 00 26 00 152
82DA 00 00 00 26 00 161
82DD 00 00 00 26 00 173
82DA 00 00 00 26 00 182
82DD 00 00 00 26 00 194
82DA 00 00 00 26 00 203
82DD 00 00 00 26 00 215
82DA 00 00 00 26 00 224
82DD 00 00 00 26 00 236
82DA 00 00 00 26 00 245
82DD 00 00 00 26 00 257
82DA 00 00 00 26 00 266
82DD 00 00 00 26 00 278
82DA 00 00 00 26 00 287
82DD 00 00 00 26 00 299
82DA 00 00 00 26 00 308
82DD 00 00 00 26 00 320
82DA 00 00 00 26 00 329
82DD 00 00 00 26 00   0
82DA 00 00 00 26 00   9
82DD 00 00 00 26 00  21
82DA 00 00 00 26 00  30
82DD 00 00 00 26 00  42
82DA 00 00 00 26 00  51
82DD 00 00 00 26 00  63
82DA 00 00 00 26 00  72
82DD 00 00 00 26 00  84
82DA 00 00 00 26 00  93
82DD 00 00 00 26 00 105
82DA 00 00 00 26 00 114
82DD 00 00 00 26 00 126
82DA 00 00 00 26 00 135
82DD 00 00 00 26 00 147
82DA 00 00 00 26 00 156
82DD 00 00 00 26 00 168
82DA 00 00 00 26 00 177
82DD 00 00 00 26 00 189
82DA 00 00 00 26 00 198
82DD 00 00 00 26 00 210
82DA 00 00 00 26 00 219
82DD 00 00 00 26 00 231
82DA 00 00 00 26 00 240
82DD 00 00 00 26 00 252
82DA 00 00 00 26 00 261
82DD 00 00 00 26 00 273
82DA 00 00 00 26 00 282
82DD 00 00 00 26 00 294
82DA 00 00 00 26 00 303
82DD 00 00 00 26 00 315
82DA 00 00 00 26 00 324
82DD 00 00 00 26 00 336
82DA 00 00 00 26 00   4
82DD 00 00 00 26 00  16
82DA 00 00 00 26 00  25
82DD 00 00 00 26 00  37
82DA 00 00 00 26 00  46
82DD 00 00 00 26 00  58
82DA 00 00 00 26 00  67
82DD 00 00 00 26 00  79
82DA 00 00 00 26 00  88
82DD 00 00 00 26 00 100
82DA 00 00 00 26 00 109
82DD 00 00 00 26 00 121
82DA 00 00 00 26 00 130
82DD 00 00 00 26 00 142
82DA 00 00 00 26 00 151
82DD 00 00 00 26 00 163
82DA 00 00 00 26 00 172
82DD 00 00 00 26 00 184
82DA 00 00 00 26 00 193
82DD 00 00 00 26 00 205
82DA 00 00 00 26 00 214
82DD 00 00 00 26 00 226
82DA 00 00 00 26 00 235
82DD 00 00 00 26 00 247
82DA 00 00 00 26 00 256
82DD 00 00 00 26 00 268
82DA 00 00 00 26 00 277
82DD 00 00 00 26 00 289
82DA 00 00 00 26 00 298
82DD 00 00 00 26 00 310
82DA 00 00 00 26 00 319
82DD 00 00 00 26 00 331
82DA 00 00 00 26 00 340
82DD 00 00 00 26 00  11
82DA 00 00 00 26 00  20
82DD 00 00 00 26 00  32
82DA 00 00 00 26 00  41
82DD 00 00 00 26 00  53
82DA 00 00 00 26 00  62
82DD 00 00 00 26 00  74
82DA 00 00 00 26 00  83
82DD 00 00 00 26 00  95
82DA 00 00 00 26 00 104
82DD 00 00 00 26 00 116
82DA 00 00 00 26 00 125
82DD 00 00 00 26 00 137
82DA 00 00 00 26 00 146
82DD 00 00 00 26 00 158
82DA 00 00 00 26 00 167
82DD 00 00 00 26 00 179
82DA 00 00 00 26 00 188
82DD 00 00 00 26 00 200
82DA 00 00 00 26 00 209
82DD 00 00 00 26 00 221
82DA 00 00 00 26 00 230
82DD 00 00 00 26 00 242
82DA 00 00 00 26 00 251
82DD 00 00 00 26 00 263
82DA 00 00 00 26 00 272
82DD 00 00 00 26 00 284
82DA 00 00 00 26 00 293
82DD 00 00 00 26 00 305
82DA 00 00 00 26 00 314
82DD 00 00 00 26 00 326
82DA 00 00 00 26 00 335
82DD 00 00 00 26 00   6
82DA 00 00 00 26 00  15
82DD 00 00 00 26 00  27
82DA 00 00 00 26 00  36
82DD 00 00 00 26 00  48
82DA 00 00 00 26 00  57
82DD 00 00 00 26 00  69
82DA 00 00 00 26 00  78
82DD 00 00 00 26 00  90
82DA 00 00 00 26 00  99
82DD 00 00 00 26 00 111
82DA 00 00 00 26 00 120
82DD 00 00 00 26 00 132
82DA 00 00 00 26 00 141
82DD 00 00 00 26 00 153
82DA 00 00 00 26 00 162
82DD 00 00 00 26 00 174
82DA 00 00 00 26 00 183
82DD 00 00 00 26 00 195
82DA 00 00 00 26 00 204
82DD 00 00 00 26 00 216
82DA 00 00 00 26 00 225
82DD 00 00 00 26 00 237
82DA 00 00 00 26 00 246
82DD 00 00 00 26 00 258
82DA 00 00 00 26 00 267
82DD 00 00 00 26 00 279
82DA 00 00 00 26 00 288
82DD 00 00 00 26 00 300
82DA 00 00 00 26 00 309
82DD 00 00 00 26 00 321
82DA 00 00 00 26 00 330
82DD 00 00 00 26 00   1
82DA 00 00 00 26 00  10
82DD 00 00 00 26 00  22
82DA 00 00 00 26 00  31
82DD 00 00 00 26 00  43
82DA 00 00 00 26 00  52
82DD 00 00 00 26 00  64
82DA 00 00 00 26 00  73
82DD 00 00 00 26 00  85
82DA 00 00 00 26 00  94
82DD 00 00 00 26 00 106
82DA 00 00 00 26 00 115
82DD 00 00 00 26 00 127
82DA 00 00 00 26 00 136
82DD 00 00 00 26 00 148
82DA 00 00 00 26 00 157
82DD 00 00 00 26 00 169
82DA 00 00 00 26 00 178
82DD 00 00 00 26 00 190
82DA 00 00 00 26 00 199
82DD 00 00 00 26 00 211
82DA 00 00 00 26 00 220
82DD 00 00 00 26 00 232
82DA 00 00 00 26 00 241
82DD 00 00 00 26 00 253
82DA 00 00 00 26 00 262
82DD 00 00 00 26 00 274
82DA 00 00 00 26 00 283
82DD 00 00 00 26 00 295
82DA 00 00 00 26 00 304
82DD 00 00 00 26 00 316
82DA 00 00 00 26 00 325
82DD 00 00 00 26 00 337
82DA 00 00 00 26 00   5
82DD 00 00 00 26 00  17
82DA 00 00 00 26 00  26
82DD 00 00 00 26 00  38
82DA 00 00 00 26 00  47
82DD 00 00 00 26 00  59
82DA 00 00 00 26 00  68
82DD 00 00 00 26 00  80
82DA 00 00 00 26 00  89
82DD 00 00 00 26 00 101
82DA 00 00 00 26 00 110
82DD 00 00 00 26 00 122
82DA 00 00 00 26 00 131
82DD 00 00 00 26 00 143
82DA 00 00 00 26 00 152
82DD 00 00 00 26 00 164
82DA 00 00 00 26 00 173
82DD 00 00 00 26 00 185
82DA 00 00 00 26 00 194
82DD 00 00 00 26 00 206
82DA 00 00 00 26 00 215
82DD 00 00 00 26 00 227
82DA 00 00 00 26 00 236
82DD 00 00 00 26 00 248
82DA 00 00 00 26 00 257
82DD 00 00 00 26 00 269
82DA 00 00 00 26 00 278
82DD 00 00 00 26 00 290
82DA 00 00 00 26 00 299
82DD 00 00 00 26 00 311
82DA 00 00 00 26 00 320
82DD 00 00 00 26 00 332
82DA 00 00 00 26 00   0
82DD 00 00 00 26 00  12
82DA 00 00 00 26 00  21
82DD 00 00 00 26 00  33
82DA 00 00 00 26 00  42
82DD 00 00 00 26 00  54
82DA 00 00 00 26 00  63
82DD 00 00 00 26 00  75
82DA 00 00 00 26 00  84
82DD 00 00 00 26 00  96
82DA 00 00 00 26 00 105
82DD 00 00 00 26 00 117
82DA 00 00 00 26 00 126
82DD 00 00 00 26 00 138
82DA 00 00 00 26 00 147
82DD 00 00 00 26 00 159
82DA 00 00 00 26 00 168
82DD 00 00 00 26 00 180
82DA 00 00 00 26 00 189
82DD 00 00 00 26 00 201
82DA 00 00 00 26 00 210
82DD 00 00 00 26 00 222
82DA 00 00 00 26 00 231
82DD 00 00 00 26 00 243
82DA 00 00 00 26 00 252
82DD 00 00 00 26 00 264
82DA 00 00 00 26 00 273
82DD 00 00 00 26 00 285
82DA 00 00 00 26 00 294
82DD 00 00 00 26 00 306
82DA 00 00 00 26 00 315
82DD 00 00 00 26 00 327
82DA 00 00 00 26 00 336
82DD 00 00 00 26 00   7
82DA 00 00 00 26 00  16
82DD 00 00 00 26 00  28
82DA 00 00 00 26 00  37
82DD 00 00 00 26 00  49
82DA 00 00 00 26 00  58
82DD 00 00 00 26 00  70
82DA 00 00 00 26 00  79
82DD 00 00 00 26 00  91
82DA 00 00 00 26 00 100
82DD 00 00 00 26 00 112
82DA 00 00 00 26 00 121
82DD 00 00 00 26 00 133
82DA 00 00 00 26 00 142
82DD 00 00 00 26 00 154
82DA 00 00 00 26 00 163
82DD 00 00 00 26 00 175
82DA 00 00 00 26 00 184
82DD 00 00 00 26 00 196
82DA 00 00 00 26 00 205
82DD 00 00 00 26 00 217
82DA 00 00 00 26 00 226
82DD 00 00 00 26 00 238
82DA 00 00 00 26 00 247
82DD 00 00 00 26 00 259
82DA 00 00 00 26 00 268
82DD 00 00 00 26 00 280
82DA 00 00 00 26 00 289
82DD 00 00 00 26 00 301
82DA 00 00 00 26 00 310
82DD 00 00 00 26 00 322
82DA 00 00 00 26 00 331
82DD 00 00 00 26 00   2
82DA 00 00 00 26 00  11
82DD 00 00 00 26 00  23
82DA 00 00 00 26 00  32
82DD 00 00 00 26 00  44
82DA 00 00 00 26 00  53
82DD 00 00 00 26 00  65
82DA 00 00 00 26 00  74
82DD 00 00 00 26 00  86
82DA 00 00 00 26 00  95
82DD 00 00 00 26 00 107
82DA 00 00 00 26 00 116
82DD 00 00 00 26 00 128
82DA 00 00 00 26 00 137
82DD 00 00 00 26 00 149
82DA 00 00 00 26 00 158
82DD 00 00 00 26 00 170
82DA 00 00 00 26 00 179
82DD 00 00 00 26 00 191
82DA 00 00 00 26 00 200
82DD 00 00 00 26 00 212
82DA 00 00 00 26 00 221
82DD 00 00 00 26 00 233
82DA 00 00 00 26 00 242
82DD 00 00 00 26 00 254
82DA 00 00 00 26 00 263
82DD 00 00 00 26 00 275
